agent_id,division,agent_name,owner,primary_inputs,primary_outputs,kpi,status,next_action,deployment_phase
D06,D,Payment Reconciler,Treasury / NBPT,Payment Reconciler requests/events from Division D workflows,"Payment Reconciler decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D07,D,Revenue Attribution,Treasury / NBPT,Revenue Attribution requests/events from Division D workflows,"Revenue Attribution decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D08,D,Margin Forecast,Treasury / NBPT,Margin Forecast requests/events from Division D workflows,"Margin Forecast decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D09,D,AP / Vendor Pay Flow,Treasury / NBPT,AP / Vendor Pay Flow requests/events from Division D workflows,"AP / Vendor Pay Flow decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,staged,Define agent-level SLO + KPI threshold and complete integration test in staging.,Phase 1
D10,D,Treasury Allocator,Treasury / NBPT,Treasury Allocator requests/events from Division D workflows,"Treasury Allocator decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 1
D11,D,Yield Monitor,Treasury / NBPT,Yield Monitor requests/events from Division D workflows,"Yield Monitor decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 1
D12,D,Burn / Buyback Analyst,Treasury / NBPT,Burn / Buyback Analyst requests/events from Division D workflows,"Burn / Buyback Analyst decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 1
D13,D,Cash Risk Monitor,Treasury / NBPT,Cash Risk Monitor requests/events from Division D workflows,"Cash Risk Monitor decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 1
D14,D,Financial KPI Publisher,Treasury / NBPT,Financial KPI Publisher requests/events from Division D workflows,"Financial KPI Publisher decisions, state updates, and telemetry events",deposit capture rate; days to collect; overdue balance; margin leakage,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 1
E01,E,NBPT Supply Monitor,Treasury / NBPT,NBPT Supply Monitor requests/events from Division E workflows,"NBPT Supply Monitor decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E02,E,Vesting Scheduler,Treasury / NBPT,Vesting Scheduler requests/events from Division E workflows,"Vesting Scheduler decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E03,E,Governance Proposal Builder,Treasury / NBPT,Governance Proposal Builder requests/events from Division E workflows,"Governance Proposal Builder decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E04,E,Snapshot Sync,Treasury / NBPT,Snapshot Sync requests/events from Division E workflows,"Snapshot Sync decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E05,E,Vote Integrity Checker,Treasury / NBPT,Vote Integrity Checker requests/events from Division E workflows,"Vote Integrity Checker decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E06,E,Delegate Registry,Treasury / NBPT,Delegate Registry requests/events from Division E workflows,"Delegate Registry decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E07,E,Penalty / Slashing Logic,Treasury / NBPT,Penalty / Slashing Logic requests/events from Division E workflows,"Penalty / Slashing Logic decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E08,E,Treasury Vote Router,Treasury / NBPT,Treasury Vote Router requests/events from Division E workflows,"Treasury Vote Router decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E09,E,On-Chain Action Verifier,Treasury / NBPT,On-Chain Action Verifier requests/events from Division E workflows,"On-Chain Action Verifier decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E10,E,ENS / Identity Updater,Treasury / NBPT,ENS / Identity Updater requests/events from Division E workflows,"ENS / Identity Updater decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E11,E,zk-SBT Role Verifier,Treasury / NBPT,zk-SBT Role Verifier requests/events from Division E workflows,"zk-SBT Role Verifier decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E12,E,Oracle Health Watcher,Treasury / NBPT,Oracle Health Watcher requests/events from Division E workflows,"Oracle Health Watcher decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E13,E,DAO Incident Drill Runner,Treasury / NBPT,DAO Incident Drill Runner requests/events from Division E workflows,"DAO Incident Drill Runner decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
E14,E,Governance Report Writer,Treasury / NBPT,Governance Report Writer requests/events from Division E workflows,"Governance Report Writer decisions, state updates, and telemetry events",proposal turnaround; vote sync lag; failed execution count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 4
F01,F,Voice Intake Agent,Steph UX,Voice Intake Agent requests/events from Division F workflows,"Voice Intake Agent decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,active,"Enable production runbook, alerts, and owner on-call for this agent.",Phase 2
F02,F,TTS Manager,Steph UX,TTS Manager requests/events from Division F workflows,"TTS Manager decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F03,F,STT Parser,Steph UX,STT Parser requests/events from Division F workflows,"STT Parser decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F04,F,Emotion Engine,Steph UX,Emotion Engine requests/events from Division F workflows,"Emotion Engine decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F05,F,Avatar Render Controller,Steph UX,Avatar Render Controller requests/events from Division F workflows,"Avatar Render Controller decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F06,F,Lip Sync Engine,Steph UX,Lip Sync Engine requests/events from Division F workflows,"Lip Sync Engine decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F07,F,Gesture Model,Steph UX,Gesture Model requests/events from Division F workflows,"Gesture Model decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F08,F,Video Stream Manager,Steph UX,Video Stream Manager requests/events from Division F workflows,"Video Stream Manager decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F09,F,Call Router / 3CX,Steph UX,Call Router / 3CX requests/events from Division F workflows,"Call Router / 3CX decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F10,F,Follow-Up SMS Agent,Steph UX,Follow-Up SMS Agent requests/events from Division F workflows,"Follow-Up SMS Agent decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F11,F,Meeting Booker,Steph UX,Meeting Booker requests/events from Division F workflows,"Meeting Booker decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F12,F,Client FAQ Bot,Steph UX,Client FAQ Bot requests/events from Division F workflows,"Client FAQ Bot decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F13,F,Investor Walkthrough Bot,Steph UX,Investor Walkthrough Bot requests/events from Division F workflows,"Investor Walkthrough Bot decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
F14,F,Interaction Analytics,Steph UX,Interaction Analytics requests/events from Division F workflows,"Interaction Analytics decisions, state updates, and telemetry events",p95 render latency; call conversion; no-show reduction; client completion rate,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 2
G01,G,JWT Rotation Manager,Cyborg,JWT Rotation Manager requests/events from Division G workflows,"JWT Rotation Manager decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G02,G,Vault Access Guard,Cyborg,Vault Access Guard requests/events from Division G workflows,"Vault Access Guard decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G03,G,Allowlist Egress Guard,Cyborg,Allowlist Egress Guard requests/events from Division G workflows,"Allowlist Egress Guard decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G04,G,Threat Detector,Cyborg,Threat Detector requests/events from Division G workflows,"Threat Detector decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G05,G,Prompt Boundary Enforcer,Cyborg,Prompt Boundary Enforcer requests/events from Division G workflows,"Prompt Boundary Enforcer decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G06,G,Data Loss Prevention,Cyborg,Data Loss Prevention requests/events from Division G workflows,"Data Loss Prevention decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G07,G,Secrets Scanner,Cyborg,Secrets Scanner requests/events from Division G workflows,"Secrets Scanner decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G08,G,Webhook Signature Verifier,Cyborg,Webhook Signature Verifier requests/events from Division G workflows,"Webhook Signature Verifier decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G09,G,Redis Lock Guard,Cyborg,Redis Lock Guard requests/events from Division G workflows,"Redis Lock Guard decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G10,G,IPFS / Arweave Reconciler,Cyborg,IPFS / Arweave Reconciler requests/events from Division G workflows,"IPFS / Arweave Reconciler decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G11,G,Chainlink Integrity Watcher,Cyborg,Chainlink Integrity Watcher requests/events from Division G workflows,"Chainlink Integrity Watcher decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G12,G,Transfer Restriction Checker,Cyborg,Transfer Restriction Checker requests/events from Division G workflows,"Transfer Restriction Checker decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G13,G,Incident Response Runner,Cyborg,Incident Response Runner requests/events from Division G workflows,"Incident Response Runner decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
G14,G,Security Audit Publisher,Cyborg,Security Audit Publisher requests/events from Division G workflows,"Security Audit Publisher decisions, state updates, and telemetry events",auth failures; blocked violations; unresolved incidents; secret exposure count,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H01,H,Postgres Truth Writer,Platform / DevOps,Postgres Truth Writer requests/events from Division H workflows,"Postgres Truth Writer decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H02,H,Redis Hot-Path Manager,Platform / DevOps,Redis Hot-Path Manager requests/events from Division H workflows,"Redis Hot-Path Manager decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H03,H,Queue Manager,Platform / DevOps,Queue Manager requests/events from Division H workflows,"Queue Manager decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H04,H,WebSocket Broadcaster,Platform / DevOps,WebSocket Broadcaster requests/events from Division H workflows,"WebSocket Broadcaster decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H05,H,Metrics Aggregator,Platform / DevOps,Metrics Aggregator requests/events from Division H workflows,"Metrics Aggregator decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H06,H,Latency Tracker,Platform / DevOps,Latency Tracker requests/events from Division H workflows,"Latency Tracker decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H07,H,GPU Utilization Tuner,Platform / DevOps,GPU Utilization Tuner requests/events from Division H workflows,"GPU Utilization Tuner decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H08,H,Canary Deployment Manager,Platform / DevOps,Canary Deployment Manager requests/events from Division H workflows,"Canary Deployment Manager decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H09,H,Rollback Controller,Platform / DevOps,Rollback Controller requests/events from Division H workflows,"Rollback Controller decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H10,H,Node Health Tracker,Platform / DevOps,Node Health Tracker requests/events from Division H workflows,"Node Health Tracker decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
H11,H,Multi-Chain Portfolio Sync,Platform / DevOps,Multi-Chain Portfolio Sync requests/events from Division H workflows,"Multi-Chain Portfolio Sync decisions, state updates, and telemetry events",uptime; queue depth; GPU utilization; websocket delivery success,parked,Keep parked until KPI owner is assigned and revenue/risk case is approved.,Phase 3
